idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"2391728","2026-06-11 19:00:00","Round 1","Mexico","","South Africa","","https://r2.thesportsdb.com/images/media/event/poster/yok37q1775110706.jpg","https://r2.thesportsdb.com/images/media/event/thumb/dzhwsf1775058317.jpg"
"2461103","2026-06-12 02:00:00","Round 1","South Korea","","Czech Republic","","https://r2.thesportsdb.com/images/media/event/poster/1lvv8d1775110757.jpg","https://r2.thesportsdb.com/images/media/event/thumb/7ogw2s1775058371.jpg"
"2461104","2026-06-12 19:00:00","Round 1","Canada","","Bosnia-Herzegovina","","https://r2.thesportsdb.com/images/media/event/poster/5ioorn1775110758.jpg","https://r2.thesportsdb.com/images/media/event/thumb/nsv3mc1775058372.jpg"
"2391729","2026-06-13 01:00:00","Round 1","USA","","Paraguay","","https://r2.thesportsdb.com/images/media/event/poster/qd0c3x1775110707.jpg","https://r2.thesportsdb.com/images/media/event/thumb/zzcn9j1775058318.jpg"
"2391732","2026-06-13 19:00:00","Round 1","Qatar","","Switzerland","","https://r2.thesportsdb.com/images/media/event/poster/bergbn1775110710.jpg","https://r2.thesportsdb.com/images/media/event/thumb/ijfi9n1775058321.jpg"
"2391730","2026-06-13 22:00:00","Round 1","Brazil","","Morocco","","https://r2.thesportsdb.com/images/media/event/poster/yqgi9o1775110708.jpg","https://r2.thesportsdb.com/images/media/event/thumb/mau34u1775058318.jpg"
"2391731","2026-06-14 01:00:00","Round 1","Haiti","","Scotland","","https://r2.thesportsdb.com/images/media/event/poster/82hfcg1775110709.jpg","https://r2.thesportsdb.com/images/media/event/thumb/24pszh1775058320.jpg"
"2461105","2026-06-14 04:00:00","Round 1","Australia","","Turkey","","https://r2.thesportsdb.com/images/media/event/poster/p37w6p1775110759.jpg","https://r2.thesportsdb.com/images/media/event/thumb/kgoj1q1775058373.jpg"
"2391733","2026-06-14 17:00:00","Round 1","Germany","","Curaçao","","https://r2.thesportsdb.com/images/media/event/poster/jar87s1775110711.jpg","https://r2.thesportsdb.com/images/media/event/thumb/c58bxh1775058322.jpg"
"2391735","2026-06-14 20:00:00","Round 1","Netherlands","","Japan","","https://r2.thesportsdb.com/images/media/event/poster/n034to1775110712.jpg","https://r2.thesportsdb.com/images/media/event/thumb/8rj5lv1775058324.jpg"
"2391734","2026-06-14 23:00:00","Round 1","Ivory Coast","","Ecuador","","https://r2.thesportsdb.com/images/media/event/poster/iaod111775110711.jpg","https://r2.thesportsdb.com/images/media/event/thumb/61g7b91775058323.jpg"
"2461106","2026-06-15 02:00:00","Round 1","Sweden","","Tunisia","","https://r2.thesportsdb.com/images/media/event/poster/b43cx71775110759.jpg","https://r2.thesportsdb.com/images/media/event/thumb/hja0ne1775058374.jpg"
"2391739","2026-06-15 16:00:00","Round 1","Spain","","Cape Verde","","https://r2.thesportsdb.com/images/media/event/poster/v2j76h1775110716.jpg","https://r2.thesportsdb.com/images/media/event/thumb/xi9bqn1775058328.jpg"
"2391736","2026-06-15 19:00:00","Round 1","Belgium","","Egypt","","https://r2.thesportsdb.com/images/media/event/poster/69rnif1775110713.jpg","https://r2.thesportsdb.com/images/media/event/thumb/uejz5h1775058325.jpg"
"2391738","2026-06-15 22:00:00","Round 1","Saudi Arabia","","Uruguay","","https://r2.thesportsdb.com/images/media/event/poster/vi98se1775110715.jpg","https://r2.thesportsdb.com/images/media/event/thumb/zhbzh41775058327.jpg"
"2391737","2026-06-16 01:00:00","Round 1","Iran","","New Zealand","","https://r2.thesportsdb.com/images/media/event/poster/mqtsce1775110714.jpg","https://r2.thesportsdb.com/images/media/event/thumb/qhf26y1775058326.jpg"
"2391742","2026-06-16 19:00:00","Round 1","France","","Senegal","","https://r2.thesportsdb.com/images/media/event/poster/149huv1775110719.jpg","https://r2.thesportsdb.com/images/media/event/thumb/73gvui1775058331.jpg"
"2461107","2026-06-16 22:00:00","Round 1","Iraq","","Norway","","https://r2.thesportsdb.com/images/media/event/poster/dtefd71775110760.jpg","https://r2.thesportsdb.com/images/media/event/thumb/xbh5yw1775058375.jpg"
"2391740","2026-06-17 01:00:00","Round 1","Argentina","","Algeria","","https://r2.thesportsdb.com/images/media/event/poster/qvp77y1775110717.jpg","https://r2.thesportsdb.com/images/media/event/thumb/w4gd291775058329.jpg"
"2391741","2026-06-17 04:00:00","Round 1","Austria","","Jordan","","https://r2.thesportsdb.com/images/media/event/poster/3j36ol1775110718.jpg","https://r2.thesportsdb.com/images/media/event/thumb/sfkizc1775058330.jpg"
"2461108","2026-06-17 17:00:00","Round 1","Portugal","","DR Congo","","https://r2.thesportsdb.com/images/media/event/poster/bshwqk1775110761.jpg","https://r2.thesportsdb.com/images/media/event/thumb/cjjkg21775058376.jpg"
"2391743","2026-06-17 20:00:00","Round 1","England","","Croatia","","https://r2.thesportsdb.com/images/media/event/poster/gcmcv51775110720.jpg","https://r2.thesportsdb.com/images/media/event/thumb/cfi1ep1775058332.jpg"
"2391744","2026-06-17 23:00:00","Round 1","Ghana","","Panama","","https://r2.thesportsdb.com/images/media/event/poster/t2xind1775110721.jpg","https://r2.thesportsdb.com/images/media/event/thumb/qq0ayn1775058333.jpg"
"2391745","2026-06-18 02:00:00","Round 1","Uzbekistan","","Colombia","","https://r2.thesportsdb.com/images/media/event/poster/3djh5j1775110722.jpg","https://r2.thesportsdb.com/images/media/event/thumb/s0getc1775058334.jpg"
"2461109","2026-06-18 16:00:00","Round 2","Czech Republic","","South Africa","","https://r2.thesportsdb.com/images/media/event/poster/uwk8p51775110762.jpg","https://r2.thesportsdb.com/images/media/event/thumb/x3ynsy1775058377.jpg"
"2461110","2026-06-18 19:00:00","Round 2","Switzerland","","Bosnia-Herzegovina","","https://r2.thesportsdb.com/images/media/event/poster/l7jpxc1775110763.jpg","https://r2.thesportsdb.com/images/media/event/thumb/gqg3xe1775058378.jpg"
"2391746","2026-06-18 22:00:00","Round 2","Canada","","Qatar","","https://r2.thesportsdb.com/images/media/event/poster/irh0951775110723.jpg","https://r2.thesportsdb.com/images/media/event/thumb/vcjp4j1775058335.jpg"
